ParkName,partySize,RateType,BookingType,Equipment,
Dollar Lake,2,Senior,CampsitePermit,Less than 20ft,
Thomas Raddall,1,Senior,CampsitePermit,Less than 30ft,
Amherst Shore,2,Full,CampsitePermit,Tents,
Caribou Munroes,4,Full,CampsitePermit,Less than 20ft,
Salsman,2,Full,CampsitePermit,Less than 40ft,
Five Islands,2,Full,CampsitePermit,Less than 20ft,
Graves Island,5,Full,CampsitePermit,Single Tent,
Rissers Beach,3,Full,CampsitePermit,Less than 30ft,
Laurie,3,Full,CampsitePermit,Single Tent,
Smileys,3,Full,CampsitePermit,Single Tent,
Caribou Munroes,4,Full,CampsitePermit,Single Tent,
Laurie,1,Full,CampsitePermit,Single Tent,
Smileys,4,Full,CampsitePermit,Tents,
Rissers Beach,6,Full,CampsitePermit,Tents,
Amherst Shore,1,Full,CampsitePermit,Single Tent,
Salsman,2,Full,CampsitePermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Single Tent,
Ellenwood Lake,4,Full,CampsitePermit,Single Tent,
Thomas Raddall,4,Full,CampsitePermit,Single Tent,
Rissers Beach,1,Full,CampsitePermit,Single Tent,
Thomas Raddall,3,Full,CampsitePermit,Single Tent,
Amherst Shore,2,Full,CampsitePermit,Single Tent,
Dollar Lake,2,Full,CampsitePermit,Single Tent,
Smileys,3,Full,CampsitePermit,Single Tent,
Battery,2,Full,CampsitePermit,Less than 30ft,
Graves Island,4,Full,CampsitePermit,Single Tent,
Caribou Munroes,1,Senior,CampsitePermit,Less than 20ft,
Mira River,4,Full,CampsitePermit,Single Tent,
Mira River,4,Full,CampsitePermit,Less than 20ft,
Graves Island,1,Senior,CampsitePermit,Single Tent,
Rissers Beach,5,Full,CampsitePermit,Less than 30ft,
Dollar Lake,6,Full,CampsitePermit,Less than 20ft,
Rissers Beach,5,Full,CampsitePermit,Single Tent,
Graves Island,3,Full,CampsitePermit,Less than 30ft,
Blomidon,2,Full,CampsitePermit,Single Tent,
Whycocomagh,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,2,Full,CampsitePermit,Less than 20ft,
Five Islands,2,Full,CampsitePermit,Single Tent,
Mira River,4,Full,CampsitePermit,Less than 30ft,
Five Islands,4,Full,CampsitePermit,Single Tent,
Smileys,4,Full,CampsitePermit,Less than 30ft,
Porters Lake,3,Full,CampsitePermit,Single Tent,
Graves Island,3,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,3,Full,CampsitePermit,Tents,
Dollar Lake,4,Full,CampsitePermit,Single Tent,
Thomas Raddall,6,Full,CampsitePermit,Tents,
Graves Island,1,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Senior,CampsitePermit,Less than 20ft,
Graves Island,5,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,4,Full,CampsitePermit,Single Tent,
Battery,2,Full,CampsitePermit,Single Tent,
Graves Island,4,Full,CampsitePermit,Less than 20ft,
Mira River,2,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Less than 30ft,
Battery,2,Full,CampsitePermit,Less than 30ft,
Amherst Shore,1,Full,CampsitePermit,Single Tent,
Graves Island,3,Full,CampsitePermit,Single Tent,
Battery,2,Full,CampsitePermit,Less than 20ft,
Laurie,6,Full,CampsitePermit,Tents,
Graves Island,1,Full,CampsitePermit,Single Tent,
Dollar Lake,6,Full,CampsitePermit,Tents,
Graves Island,2,Full,CampsitePermit,Single Tent,
The Islands,2,Senior,CampsitePermit,Less than 20ft,
Five Islands,2,Full,CampsitePermit,Single Tent,
Five Islands,6,Full,CampsitePermit,Tents,
Salsman,3,Full,CampsitePermit,Single Tent,
Battery,2,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Full,CampsitePermit,Less than 20ft,
Battery,3,Full,CampsitePermit,Less than 30ft,
Five Islands,2,Senior,CampsitePermit,Less than 20ft,
Rissers Beach,6,Full,CampsitePermit,Tents,
Mira River,4,Full,CampsitePermit,Less than 30ft,
The Islands,4,Full,CampsitePermit,Single Tent,
Five Islands,1,Full,CampsitePermit,Single Tent,
Porters Lake,2,Senior,CampsitePermit,Less than 20ft,
Thomas Raddall,2,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,2,Full,CampsitePermit,Less than 20ft,
The Islands,4,Full,CampsitePermit,Less than 20ft,
Graves Island,3,Full,CampsitePermit,Single Tent,
Valleyview,3,Full,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Single Tent,
Smileys,2,Veteran,CampsitePermit,Less than 30ft,
Salsman,2,Full,CampsitePermit,Less than 20ft,
Whycocomagh,2,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Full,CampsitePermit,Single Tent,
Ellenwood Lake,2,Full,CampsitePermit,Less than 20ft,
Mira River,3,Full,CampsitePermit,Less than 30ft,
Thomas Raddall,6,Full,CampsitePermit,Tents,
Rissers Beach,2,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,2,Full,CampsitePermit,Less than 20ft,
Five Islands,4,Senior,CampsitePermit,Tents,
Five Islands,2,Senior,CampsitePermit,Single Tent,
Thomas Raddall,1,Full,CampsitePermit,Single Tent,
Smileys,4,Full,CampsitePermit,Less than 30ft,
Mira River,2,Full,CampsitePermit,Single Tent,
Salsman,2,Senior,CampsitePermit,Less than 30ft,
Rissers Beach,2,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,5,Full,CampsitePermit,Less than 40ft,
Mira River,4,Full,CampsitePermit,Less than 30ft,
Blomidon,2,Full,CampsitePermit,Less than 30ft,
Laurie,4,Full,CampsitePermit,Tents,
Amherst Shore,1,Full,CampsitePermit,Single Tent,
Thomas Raddall,2,Senior,CampsitePermit,Less than 30ft,
Laurie,4,Full,CampsitePermit,Less than 20ft,
Rissers Beach,4,Full,CampsitePermit,Less than 40ft,
Porters Lake,2,Veteran,CampsitePermit,Less than 30ft,
Mira River,4,Full,CampsitePermit,Less than 40ft,
Porters Lake,5,Full,CampsitePermit,Single Tent,
Five Islands,2,Full,CampsitePermit,Less than 20ft,
Blomidon,2,Full,CampsitePermit,Single Tent,
Graves Island,4,Full,CampsitePermit,Less than 30ft,
Valleyview,2,Senior,CampsitePermit,Single Tent,
Smileys,2,Senior,CampsitePermit,Less than 30ft,
Smileys,4,Full,CampsitePermit,Less than 20ft,
Smileys,2,Full,CampsitePermit,Less than 20ft,
Rissers Beach,4,Full,CampsitePermit,Less than 20ft,
Graves Island,2,Full,CampsitePermit,Single Tent,
Graves Island,2,Senior,CampsitePermit,Less than 20ft,
Graves Island,2,Senior,CampsitePermit,Less than 30ft,
Ellenwood Lake,4,Full,CampsitePermit,Single Tent,
Whycocomagh,2,Full,CampsitePermit,Less than 30ft,
Five Islands,3,Full,CampsitePermit,Tents,
Rissers Beach,2,Full,CampsitePermit,Tents,
Graves Island,2,Senior,CampsitePermit,Single Tent,
Mira River,3,Full,CampsitePermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,3,Full,CampsitePermit,Less than 30ft,
Rissers Beach,2,Full,CampsitePermit,Less than 20ft,
Graves Island,2,Full,CampsitePermit,Less than 40ft,
Battery,2,Full,CampsitePermit,Single Tent,
Graves Island,2,FULL,CampsitePermit,Less than 30ft,
Graves Island,4,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,1,Senior,CampsitePermit,Less than 20ft,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Less than 30ft,
Graves Island,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,6,Veteran,CampsitePermit,Less than 30ft,
Blomidon,2,Full,CampsitePermit,Tents,
Whycocomagh,1,Full,CampsitePermit,Single Tent,
Five Islands,2,Full,CampsitePermit,Single Tent,
Battery,3,Full,CampsitePermit,Single Tent,
Laurie,3,Full,CampsitePermit,Single Tent,
Caribou Munroes,4,Full,CampsitePermit,Less than 20ft,
Graves Island,4,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Less than 30ft,
Mira River,2,Full,CampsitePermit,Less than 20ft,
Cape Chignecto,1,Full,BackcountryPermit,Single Tent,
Mira River,4,Full,CampsitePermit,Less than 40ft,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Rissers Beach,4,Full,CampsitePermit,Less than 20ft,
Five Islands,4,Full,CampsitePermit,Less than 20ft,
Ellenwood Lake,2,Full,CampsitePermit,Tents,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,2,Full,CampsitePermit,Less than 30ft,
Mira River,4,Full,CampsitePermit,Less than 30ft,
Dollar Lake,2,Full,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Less than 30ft,
Mira River,4,Full,CampsitePermit,Tents,
Caribou Munroes,3,Full,CampsitePermit,Less than 20ft,
Rissers Beach,2,Full,CampsitePermit,Less than 30ft,
Blomidon,2,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Full,CampsitePermit,Single Tent,
Thomas Raddall,4,Full,CampsitePermit,Less than 20ft,
Whycocomagh,5,Senior,CampsitePermit,Less than 30ft,
Mira River,4,Full,CampsitePermit,Less than 20ft,
Smileys,2,Full,CampsitePermit,Less than 30ft,
Amherst Shore,2,Full,CampsitePermit,Less than 20ft,
Salsman,2,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,2,Full,CampsitePermit,Less than 20ft,
Five Islands,2,Senior,CampsitePermit,Less than 20ft,
Amherst Shore,4,Full,CampsitePermit,Tents,
Salsman,2,Full,CampsitePermit,Less than 40ft,
Porters Lake,2,Full,CampsitePermit,Single Tent,
Thomas Raddall,2,Full,CampsitePermit,Single Tent,
Dollar Lake,6,Full,CampsitePermit,Tents,
Thomas Raddall,1,Full,CampsitePermit,Single Tent,
The Islands,4,Full,CampsitePermit,Less than 20ft,
Boylston,1,Full,CampsitePermit,Single Tent,
Graves Island,3,Full,CampsitePermit,Less than 20ft,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,3,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Single Tent,
Blomidon,2,Senior,CampsitePermit,Less than 30ft,
Mira River,4,Full,CampsitePermit,Less than 30ft,
Graves Island,2,Senior,CampsitePermit,Less than 30ft,
Mira River,2,Full,CampsitePermit,Less than 30ft,
Rissers Beach,4,Full,CampsitePermit,Less than 20ft,
Graves Island,2,Full,CampsitePermit,Less than 30ft,
Battery,2,Full,CampsitePermit,Single Tent,
Smileys,5,Senior,CampsitePermit,Less than 30ft,
Graves Island,2,Full,CampsitePermit,Less than 20ft,
Thomas Raddall,2,Full,CampsitePermit,Less than 20ft,
Laurie,6,Full,CampsitePermit,Single Tent,
Graves Island,4,Full,CampsitePermit,Less than 30ft,
Rissers Beach,2,Full,CampsitePermit,Less than 20ft,
Rissers Beach,2,Full,CampsitePermit,Less than 20ft,
Caribou Munroes,5,Full,CampsitePermit,Single Tent,
Five Islands,2,Full,CampsitePermit,Single Tent,
Five Islands,4,Full,CampsitePermit,Less than 20ft,
Cape Chignecto,4,Full,BackcountryPermit,Cabin,
Laurie,2,Full,CampsitePermit,Less than 20ft,
Graves Island,2,Full,CampsitePermit,Less than 40ft,
Dollar Lake,5,Full,CampsitePermit,Less than 20ft,
Graves Island,2,Full,CampsitePermit,Tents,
Dollar Lake,6,Full,CampsitePermit,Single Tent,
Five Islands,2,Senior,CampsitePermit,Single Tent,
Blomidon,4,Full,CampsitePermit,Single Tent,
Laurie,2,Senior,CampsitePermit,Less than 30ft,
Amherst Shore,2,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,1,Full,CampsitePermit,Single Tent,
